Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
unnamed_17735,387493,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17736,387501,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17737,387502,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17738,387503,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17739,387505,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17740,387508,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17741,387509,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17742,387511,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17743,387512,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17744,387513,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17745,387514,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17746,387515,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17747,387516,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17748,387517,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17749,387518,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17750,387526,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17751,387527,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17752,387530,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17753,387531,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17754,387532,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17755,387533,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17756,387534,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17757,387535,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17758,387536,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17759,387537,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17760,387538,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17761,387539,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17762,387540,NCI60,-,#N/A,,#N/A,#N/A
"uracil, 1-(1-adamantylcarboxamido)-5-fluoro-",387541,NCI60,"uracil, 1-(1-adamantylcarboxamido)-5-fluoro-",#N/A,,#N/A,#N/A
unnamed_17763,387542,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17764,387543,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17765,387544,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17766,387546,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17767,387548,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17768,387549,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17769,387556,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17770,387557,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17771,387559,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17772,387560,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17773,387561,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17774,387563,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17775,387564,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17776,387565,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17777,387566,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17778,387567,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17779,387568,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17780,387569,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17781,387570,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17782,387571,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17783,387572,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17784,387573,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17785,387574,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17786,387575,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17787,387576,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17788,387577,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17789,387578,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17790,387579,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17791,387584,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17792,387585,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17793,387586,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17794,387587,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17795,387588,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17796,387589,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17797,387590,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17798,387591,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17799,387592,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17800,387593,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17801,387594,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17802,387595,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17803,387596,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17804,387597,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17805,387598,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17806,387599,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17807,387600,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17808,387601,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17809,387602,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17810,387603,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17811,387604,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17812,387605,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17813,387606,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17814,387607,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17815,387608,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17816,387609,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17817,387610,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17818,387653,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17819,387654,NCI60,-,#N/A,,#N/A,#N/A
"2,3,17.beta.-triacetyloxyestra-1,3,5(10)-triene",387661,NCI60,"2,3,17.beta.-triacetyloxyestra-1,3,5(10)-triene",#N/A,,#N/A,#N/A
unnamed_17820,387663,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17821,387664,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17822,387665,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17823,387666,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17824,387667,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17825,387670,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17826,387674,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17827,387675,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17828,387676,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17829,387677,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17830,387680,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17831,387681,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17832,387682,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17833,387683,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17834,387684,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17835,387685,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17836,387686,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17837,387687,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17838,387690,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17839,387691,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17840,387692,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17841,387694,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17842,387695,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17843,387696,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17844,387697,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17845,387698,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17846,387699,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17847,387700,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17848,387701,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17849,387702,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17850,387703,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17851,387704,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17852,387705,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17853,387706,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17854,387707,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17855,387708,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17856,387709,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17857,387710,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17858,387711,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17859,387712,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17860,387713,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17861,387714,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17862,387715,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17863,387716,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17864,387717,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17865,387718,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17866,387719,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17867,387720,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17868,387721,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17869,387722,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17870,387723,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17871,387724,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17872,387725,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17873,387726,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17874,387727,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17875,387728,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17876,387729,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17877,387734,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17878,387735,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17879,387736,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17880,387737,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17881,387738,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17882,387739,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17883,387740,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17884,387741,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17885,387742,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17886,387743,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17887,387748,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17888,387749,NCI60,-,#N/A,,#N/A,#N/A
unnamed_17889,387750,NCI60,-,#N/A,,#N/A,#N/A
